"date","description","originalDescription","amount","transactionType","category","accountName","labels","notes"
"11/24/2021","Google","Google YouTube TV   Mountain Vie","70.06","debit","Television","MASTERCARD ACCOUNT","",""
"11/24/2021","DIRECT DEPOSIT PAYMENT CINCINNAT CINCINNATI OH xxxxxxxxxxxxxxx AC","DIRECT DEPOSIT PAYMENT CINCINNAT","70.06","credit","Credit Card Payment","MASTERCARD ACCOUNT","",""
"11/24/2021","DIRECT DEPOSIT PAYMENT CINCINNAT CINCINNATI OH xxxxxxxxxxxxxxx AC","DIRECT DEPOSIT PAYMENT CINCINNAT","132.27","credit","Credit Card Payment","MASTERCARD ACCOUNT","",""
"11/24/2021","5/3 ONLINE TRANSFER TO CC: REF # xxxxxxxx","CC: XXXXXXXXXXXX4750 REF # xxxxxxxx","132.27","debit","Transfer","5/3 ESSENTIAL CHECKING","",""
"11/24/2021","5/3 ONLINE TRANSFER TO CC: REF # xxxxxxxx","CC: XXXXXXXXXXXX4750 REF # xxxxxxxx","70.06","debit","Transfer","5/3 ESSENTIAL CHECKING","",""
"11/23/2021","STITCH FIX, INC. xxxxxxxx xxxxxxxx CA xxxxxxxx","STITCH FIX, INC.   xxxxxxxx","135.89","debit","Clothing","MASTERCARD ACCOUNT","",""
"11/21/2021","Hot Head Burritos","HOT HEAD BURRITOS - OH MAINEVILLE OH","9.45","debit","Restaurants","Citi® Double Cash Card","",""
"11/21/2021","Kroger","KROGER #376 MAINEVILLE OH","142.51","debit","Groceries","Citi® Double Cash Card","",""
"11/21/2021","Menard","MENARDS LOVELAND OH LOVELAND OH","13.87","debit","Home Improvement","Citi® Double Cash Card","",""
"11/19/2021","Citicards Cash Reward","CITICARDS CASH REWARD xxxxxxxx","72.59","credit","Income","5/3 ESSENTIAL CHECKING","",""
"11/18/2021","Wendy's","WENDYS 8580 MAINEVILLE OH","8.16","debit","Fast Food","Citi® Double Cash Card","",""
"11/17/2021","MEMBERSHIP FEE NOV 21-OCT 22","MEMBERSHIP FEE NOV 21-OCT 22","0.00","credit","Service Fee","Citi® Double Cash Card","",""
"11/16/2021","WEB INITIATED PAYMENT AT CITI AUTOPAY PAYMENT xxxxxxxx xxxxxxxx","WEB INITIATED PAYMENT AT CITI AU","714.16","debit","Credit Card Payment","5/3 ESSENTIAL CHECKING","",""
"11/15/2021","Home Depot","THE HOME DEPOT 3813 MASON OH","441.12","debit","Shopping","Citi® Double Cash Card","",""
"11/15/2021","SEVEN HILLS TECH DIR DEP. 15 xxxxxxxx","SEVEN HILLS TECH DIR DEP. 15 111","1839.65","credit","Paycheck","5/3 ESSENTIAL CHECKING","",""
"11/15/2021","Autopay Rautopay Auto","AUTOPAY xxxxxxxxRAUTOPAY AUTO-PMT","714.16","credit","Income","Citi® Double Cash Card","",""
"11/14/2021","HIDDEN VALLEY ORCH Lebanon OH","SQ *HIDDEN VALLEY ORCH Lebanon OH","39.10","debit","Groceries","Citi® Double Cash Card","",""
"11/14/2021","Hot Head Burritos","HOT HEAD BURRITOS - OH DAYTON OH","24.74","debit","Restaurants","Citi® Double Cash Card","",""
"11/12/2021","Robinhood","WEB INITIATED PAYMENT AT ROBINHO","500.00","debit","Investments/Savings","5/3 ESSENTIAL CHECKING","",""
"11/10/2021","Kroger Fuel","KROGER FUEL #4408 MAINEVILLE OH","38.36","debit","Gas & Fuel","Citi® Double Cash Card","",""
"11/10/2021","Kroger","KROGER #408 CINCINNATI OH","164.40","debit","Groceries","Citi® Double Cash Card","",""
